# 1SC	2SC	2PxC	2PyC	2PzC	1SH1	1SH2	1SH3	1SH4
1.9920	0.1255	0.0000	0.0000	0.0000	-0.1115	-0.1115	-0.1115	-0.1115
0.05818	1.880	0.0000	0.0000	0.0000	0.7214	0.7214	0.7214	0.7214
0.0000	0.0000	1.0280	0.0000	0.0000	-0.3774	-0.3774	0.7548	0.0000
0.0000	0.0000	0.0000	1.0280	0.0000	-0.2669	-0.2669	-0.2669	0.8006
0.0000	0.0000	0.0000	0.0000	1.0280	0.6537	-0.6537	0.0000	0.0000
-0.0212	0.3320	-0.4413	-0.3120	0.7643	0.9343	-0.0381	-0.0381	-0.0381
-0.0212	0.3320	-0.4413	-0.3120	-0.7643	-0.0381	0.9343	-0.0381	-0.0381
-0.0212	0.3320	0.8825	-0.3120	0.0000	-0.0381	-0.0381	0.9343	-0.0381
-0.0212	0.3320	0.0000	0.9360	0.0000	-0.0381	-0.0381	-0.0381	0.9343
