# 1SC	2SC	2PxC	2PyC	2PzC	1SH1	1SH2	1SH3	1SH4
2.0659	-0.0501	0.0000	0.0000	0.0000	-0.0059	-0.0059	-0.0059	-0.0059
-0.0501	0.7907	0.0000	0.0000	0.0000	0.1119	0.1119	0.1119	0.1119
0.0000	0.0000	0.6543	0.0000	0.0000	0.0622	0.0622	0.2488	0.0000
0.0000	0.0000	0.0000	0.6543	0.0000	0.0311	0.0311	0.0311	0.2799
0.0000	0.0000	0.0000	0.0000	0.6543	0.1866	0.1866	0.0000	0.0000
-0.0059	0.1119	0.0622	0.0311	0.1866	0.6083	-0.0199	-0.0199	-0.0199
-0.0059	0.1119	0.0622	0.0311	0.1866	-0.0199	0.6083	-0.0199	-0.0199
-0.0059	0.1119	0.2488	0.0311	0.0000	-0.0199	-0.0199	0.6083	-0.0199
-0.0059	0.1119	0.0000	0.2799	0.0000	-0.0199	-0.0199	-0.0199	0.6083
